               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01374,            0.076663,           0.0041057,             0.99914,             0.99891,             0.99488,             0.99476,           0.0044932,             0.16345,           0.0003558,            0.070137,           0.0033181,           0.0033181
                   1,            0.014564,            0.081294,           0.0043098,             0.99888,             0.99894,             0.99487,             0.98214,           0.0065729,             0.16522,          0.00061976,            0.039972,           0.0064868,           0.0064868
                   2,            0.014476,            0.083532,           0.0045865,              0.9973,             0.99666,             0.99473,             0.97518,           0.0050129,             0.15448,            0.001156,           0.0096427,           0.0094905,           0.0094905
                   3,            0.014075,            0.084897,           0.0048902,             0.99529,             0.99543,             0.99458,             0.93093,            0.007909,             0.16792,           0.0012734,           0.0092575,           0.0092575,           0.0092575
                   4,            0.014399,            0.085641,           0.0049642,             0.99749,             0.99692,             0.99484,             0.99209,           0.0048453,             0.14806,           0.0011323,           0.0092575,           0.0092575,           0.0092575
                   5,            0.014456,            0.086002,           0.0050476,             0.99798,             0.99732,             0.99481,             0.98445,           0.0051386,               0.143,          0.00093541,             0.00901,             0.00901,             0.00901
                   6,            0.014112,            0.083348,           0.0049728,             0.99714,             0.99774,             0.99478,             0.96843,           0.0062929,             0.16892,           0.0010083,           0.0087625,           0.0087625,           0.0087625
                   7,            0.013675,            0.081806,           0.0049603,             0.99746,             0.99788,              0.9948,             0.98265,           0.0058903,             0.17291,          0.00077232,            0.008515,            0.008515,            0.008515
                   8,            0.013475,            0.080816,           0.0049605,             0.99744,             0.99771,             0.99471,             0.99215,           0.0042359,             0.13254,          0.00094093,           0.0082675,           0.0082675,           0.0082675
                   9,             0.01337,            0.080286,           0.0049459,             0.96064,             0.90339,             0.97109,             0.92218,            0.012674,             0.18969,            0.010662,             0.00802,             0.00802,             0.00802
                  10,            0.013269,            0.078677,           0.0048468,             0.99742,             0.99801,             0.99468,             0.99233,           0.0044035,             0.12621,          0.00080928,           0.0077725,           0.0077725,           0.0077725
                  11,            0.013076,            0.077394,           0.0048357,              0.9977,             0.99784,             0.99478,             0.99417,           0.0037359,             0.14484,          0.00088831,            0.007525,            0.007525,            0.007525
                  12,            0.012786,            0.076335,           0.0048403,             0.99806,             0.99817,             0.99484,             0.98797,           0.0044336,             0.19784,          0.00082991,           0.0072775,           0.0072775,           0.0072775
                  13,            0.012799,            0.075982,           0.0047535,             0.99659,             0.99631,             0.99475,             0.99042,           0.0040964,             0.16092,            0.001069,             0.00703,             0.00703,             0.00703
                  14,            0.012118,            0.072366,           0.0048117,             0.99812,             0.99781,             0.99479,             0.99327,           0.0042096,             0.14646,          0.00074665,           0.0067825,           0.0067825,           0.0067825
                  15,            0.012262,            0.072545,           0.0047046,             0.99811,              0.9978,             0.99484,             0.99357,           0.0037926,             0.16277,           0.0007272,            0.006535,            0.006535,            0.006535
                  16,            0.011786,            0.070295,           0.0046652,             0.99806,             0.99801,             0.99482,             0.99459,           0.0037397,             0.14933,           0.0007397,           0.0062875,           0.0062875,           0.0062875
