               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020959,              0.1287,           0.0098425,             0.99347,             0.84715,             0.87258,             0.84457,             0.01036,              0.1641,           0.0019915,            0.070138,            0.003318,            0.003318
                   1,            0.021992,             0.14157,            0.010126,             0.99357,             0.83365,             0.85978,             0.83551,            0.011697,              0.1583,           0.0022225,            0.039974,           0.0064867,           0.0064867
                   2,            0.022703,             0.15098,            0.010331,             0.99027,             0.81795,             0.84833,             0.79541,            0.011699,             0.14537,           0.0028886,            0.009644,           0.0094904,           0.0094904
                   3,            0.023008,             0.15839,            0.010964,             0.97497,             0.77284,             0.82273,             0.71195,            0.021553,             0.20769,           0.0092863,           0.0092575,           0.0092575,           0.0092575
                   4,            0.023444,             0.15891,            0.011046,             0.99151,              0.8187,             0.84526,             0.78532,            0.012104,             0.16414,           0.0028928,           0.0092575,           0.0092575,           0.0092575
                   5,            0.023194,             0.15893,            0.011215,             0.99083,             0.81494,             0.84416,             0.79935,            0.010867,             0.15388,           0.0029786,             0.00901,             0.00901,             0.00901
                   6,            0.023314,             0.15871,            0.011173,             0.98394,             0.80466,             0.83845,               0.781,            0.013301,             0.16553,           0.0055304,           0.0087625,           0.0087625,           0.0087625
                   7,            0.022303,             0.15053,            0.010987,             0.99098,             0.82269,             0.85038,             0.82361,            0.010063,             0.14533,            0.002678,            0.008515,            0.008515,            0.008515
                   8,            0.022247,             0.15079,            0.010955,             0.99202,             0.82427,              0.8523,              0.8108,           0.0098958,             0.15539,           0.0026876,           0.0082675,           0.0082675,           0.0082675
                   9,            0.021878,             0.14867,            0.010724,              0.9911,             0.81664,             0.84241,             0.80942,            0.010528,             0.14599,           0.0028268,             0.00802,             0.00802,             0.00802
                  10,            0.021852,             0.14728,            0.010725,             0.99154,             0.82623,             0.85378,              0.8183,           0.0096996,             0.16041,           0.0026431,           0.0077725,           0.0077725,           0.0077725
                  11,            0.021647,             0.14625,            0.010732,             0.99186,             0.82295,              0.8495,             0.82614,           0.0093612,             0.13095,           0.0026813,            0.007525,            0.007525,            0.007525
                  12,            0.021188,             0.14316,             0.01063,             0.99024,              0.8141,             0.84413,             0.82026,           0.0094498,             0.14465,           0.0029101,           0.0072775,           0.0072775,           0.0072775
                  13,            0.021242,             0.14311,            0.010486,             0.99002,             0.77452,              0.8025,             0.77533,           0.0092391,             0.14239,           0.0030934,             0.00703,             0.00703,             0.00703
                  14,            0.020872,             0.14005,            0.010466,             0.98358,             0.80692,              0.8372,             0.80468,            0.010248,             0.15078,           0.0036101,           0.0067825,           0.0067825,           0.0067825
                  15,            0.020782,             0.13773,            0.010476,             0.99312,             0.81138,             0.84034,             0.81715,           0.0087717,             0.14994,           0.0024918,            0.006535,            0.006535,            0.006535
                  16,            0.020524,              0.1365,            0.010424,             0.99319,             0.81663,             0.84436,              0.8287,           0.0084277,             0.13579,           0.0023034,           0.0062875,           0.0062875,           0.0062875
                  17,            0.020168,             0.13454,             0.01031,             0.99263,              0.8083,             0.83075,             0.80734,           0.0088875,             0.15716,           0.0024909,             0.00604,             0.00604,             0.00604
                  18,            0.020027,             0.13221,            0.010359,              0.9926,             0.81721,             0.84709,              0.8294,            0.008636,             0.14405,           0.0024445,           0.0057925,           0.0057925,           0.0057925
                  19,            0.019738,             0.13158,            0.010076,             0.99342,             0.81049,             0.84118,             0.82296,           0.0086246,             0.14421,           0.0023663,            0.005545,            0.005545,            0.005545
                  20,            0.019366,             0.12722,            0.010064,             0.99126,             0.81754,              0.8479,             0.82078,           0.0089908,             0.15255,           0.0025276,           0.0052975,           0.0052975,           0.0052975
                  21,            0.019152,             0.12686,            0.010069,             0.99242,             0.81473,              0.8432,             0.82753,           0.0084918,             0.15034,           0.0023579,             0.00505,             0.00505,             0.00505
                  22,            0.018982,             0.12505,            0.010001,             0.99303,             0.81838,             0.84815,             0.82611,           0.0082527,              0.1595,           0.0022984,           0.0048025,           0.0048025,           0.0048025
                  23,             0.01871,              0.1222,           0.0098295,              0.9932,             0.81887,             0.84563,             0.83376,           0.0080688,             0.14855,           0.0022582,            0.004555,            0.004555,            0.004555
                  24,            0.018509,              0.1208,           0.0098355,             0.99365,             0.82203,             0.84838,             0.83257,           0.0078499,             0.14309,           0.0021521,           0.0043075,           0.0043075,           0.0043075
                  25,             0.01795,             0.11694,           0.0096317,             0.99358,             0.82209,             0.85045,             0.83589,           0.0082144,             0.16308,           0.0021474,             0.00406,             0.00406,             0.00406
                  26,            0.018437,             0.11766,           0.0099508,             0.99432,             0.82564,             0.85164,             0.83879,           0.0079244,             0.14402,           0.0020542,           0.0038125,           0.0038125,           0.0038125
                  27,            0.018023,             0.11601,           0.0097666,              0.9932,             0.82652,             0.85373,              0.8397,           0.0077507,             0.16055,           0.0020822,            0.003565,            0.003565,            0.003565
                  28,            0.017776,             0.11305,           0.0096304,             0.99302,             0.83363,               0.859,             0.84607,           0.0075812,             0.14785,           0.0020118,           0.0033175,           0.0033175,           0.0033175
                  29,            0.017413,              0.1104,           0.0095924,             0.99439,             0.84187,              0.8663,             0.85484,           0.0074256,             0.14105,           0.0019689,             0.00307,             0.00307,             0.00307
                  30,            0.017458,             0.10943,           0.0095753,             0.99424,             0.84884,             0.87382,             0.86525,           0.0072195,             0.13989,           0.0018876,           0.0028225,           0.0028225,           0.0028225
                  31,            0.017103,             0.10747,           0.0094194,             0.99386,             0.85251,             0.87703,             0.86735,           0.0074382,             0.15124,           0.0018842,            0.002575,            0.002575,            0.002575
                  32,            0.016821,               0.105,           0.0093898,              0.9943,             0.85543,             0.87958,             0.87104,             0.00715,             0.13266,           0.0018316,           0.0023275,           0.0023275,           0.0023275
                  33,            0.016344,             0.10154,           0.0091791,              0.9941,             0.85052,             0.87675,             0.86847,           0.0071625,             0.14374,           0.0017695,             0.00208,             0.00208,             0.00208
                  34,            0.016504,             0.10083,           0.0092299,             0.99399,             0.72241,             0.76089,             0.75336,           0.0072484,             0.15235,           0.0018562,           0.0018325,           0.0018325,           0.0018325
                  35,            0.016535,             0.10113,           0.0093179,             0.99361,             0.74693,              0.7819,             0.77657,           0.0070387,             0.14837,           0.0017971,            0.001585,            0.001585,            0.001585
                  36,            0.016297,            0.098797,           0.0091943,             0.99329,             0.77584,             0.80775,             0.80181,           0.0071373,             0.15792,            0.001772,           0.0013375,           0.0013375,           0.0013375
                  37,            0.015739,            0.094097,            0.009016,             0.99439,             0.85248,             0.87761,             0.86766,            0.007137,             0.16257,           0.0017318,             0.00109,             0.00109,             0.00109
                  38,            0.015894,            0.094742,            0.009099,             0.99469,               0.874,             0.89615,             0.89122,           0.0067828,             0.14044,           0.0016889,           0.0008425,           0.0008425,           0.0008425
                  39,            0.015707,            0.093196,           0.0090325,             0.99474,             0.86737,              0.8914,             0.88583,           0.0068656,             0.15307,           0.0016962,            0.000595,            0.000595,            0.000595
